commit_id,label,msg,code
eec10fcf0c795bdfacef4c9933585f65f953fd58,1.0,Writing central directory in chunks instead of one by one Increased size of copybuf,"{'added_code': {'writeCentralDirectoryInChunks ( ) ;', 'count + + ;', '}', '. ARCHIVE TOO BIG MESSAGE ) ;', 'while ( iterator . hasNext ( ) ) {', '| | ze . getCompressedSize ( ) > = ZIP64 MAGIC', 'int count = 0 ;', 'writeCounted ( centralFileHeader ) ;', '| | ze . getSize ( ) > = ZIP64 MAGIC', 'int NUM PER WRITE = 1000 ;', '} ;', 'byteArrayOutputStream . reset ( ) ;', 'return createCentralFileHeader ( ze , getName ( ze ) , lfhOffset , needsZip64Extra ) ;', 'import java . io . ByteArrayOutputStream ;', 'ze = iterator . next ( ) ;', 'if ( count > NUM PER WRITE ) {', 'ByteArrayOutputStream byteArrayOutputStream = new ByteArrayOutputStream ( 70 * NUM PER WRITE ) ;', 'final byte [ ] copyBuffer = new byte [ 32768 ] ;', 'ZipArchiveEntry ze ;', 'System . arraycopy ( ZERO , 0 , buf , CFH DISK NUMBER OFFSET , SHORT ) ;', 'private byte [ ] createCentralFileHeader ( ZipArchiveEntry ze ) throws IOException {', 'Iterator < ZipArchiveEntry > iterator = entries . iterator ( ) ;', 'byteArrayOutputStream . write ( createCentralFileHeader ( ze ) ) ;', 'import java . util . Iterator ;', 'byte [ ] centralFileHeader = createCentralFileHeader ( ze ) ;', 'count = 0 ;', 'writeCounted ( byteArrayOutputStream . toByteArray ( ) ) ;', '| | lfhOffset > = ZIP64 MAGIC ;', 'private void writeCentralDirectoryInChunks ( ) throws IOException {'}, 'removed_code': {'for ( ZipArchiveEntry ze : entries ) {', 'writeCentralFileHeader ( ze ) ;', 'writeCounted ( centralFileHeader ) ;', '| | lfhOffset > = ZIP64 MAGIC ;', 'byte [ ] centralFileHeader = createCentralFileHeader ( ze , getName ( ze ) , lfhOffset , needsZip64Extra ) ;', '. ARCHIVE TOO BIG MESSAGE ) ;', '}', 'System . arraycopy ( ZERO , 0 , buf , CFH DISK NUMBER OFFSET , SHORT ) ;', 'final byte [ ] copyBuffer = new byte [ 16384 ] ;', '| | ze . getSize ( ) > = ZIP64 MAGIC', '| | ze . getCompressedSize ( ) > = ZIP64 MAGIC'}}"
4b8647bf6ce2b478e6bc90d0158ce81939a14378,1.0,[ MATH - 898 ] Add implementation of fuzzy k - means clusterer .,"{'added_code': {'membershipMatrix [ i ] = MathArrays . normalizeArray ( membershipMatrix [ i ] , 1 . 0 ) ;', 'clusters . get ( newCluster ) . addPoint ( point ) ;', 'return maxIterations ;', 'membershipMatrix [ i ] [ j ] = 1 . 0 / sum ;', 'this . maxIterations = maxIterations ;', 'final int maxIterations , final DistanceMeasure measure )', 'import org . apache . commons . math3 . util . FastMath ;', 'if ( size = = 0 ) {', 'private List < CentroidCluster < T > > clusters ;', 'clusters = newClusters ;', 'public RealMatrix getMembershipMatrix ( ) {', 'private double [ ] [ ] membershipMatrix ;', 'final double epsilon , final RandomGenerator random )', 'import org . apache . commons . math3 . random . RandomGenerator ;', 'public double getFuzzyness ( ) {', 'return 0 ;', 'points = Collections . unmodifiableList ( new ArrayList < T > ( dataPoints ) ) ;', 'final Clusterable center = cluster . getCenter ( ) ;', 'public int getMaxIterations ( ) {', 'public List < T > getDataPoints ( ) {', 'membershipMatrix = new double [ size ] [ k ] ;', 'sum + = u ;', 'sum + = FastMath . pow ( distA / distB , 2 . 0 / ( fuzzyness - 1 . 0 ) ) ;', 'throws MathIllegalArgumentException {', 'clusters . add ( new CentroidCluster < T > ( new DoublePoint ( new double [ pointDimension ] ) ) ) ;', 'for ( int i = 0 ; i < points . size ( ) ; i + + ) {', 'double v = FastMath . abs ( membershipMatrix [ i ] [ j ] - matrix [ i ] [ j ] ) ;', 'updateMembershipMatrix ( ) ;', 'if ( points = = null | | clusters = = null ) {', 'newCluster = j ;', 'i + + ;', 'if ( fuzzyness < = 1 . 0d ) {', 'import org . apache . commons . math3 . ml . distance . DistanceMeasure ;', 'int newCluster = - 1 ;', 'import org . apache . commons . math3 . util . MathUtils ;', 'membershipMatrix [ i ] [ j ] = random . nextDouble ( ) ;', 'double dist = distance ( point , cluster . getCenter ( ) ) ;', 'final double [ ] pointArr = point . getPoint ( ) ;', 'import org . apache . commons . math3 . exception . NumberIsTooSmallException ;', 'this . k = k ;', 'public RandomGenerator getRandomGenerator ( ) {', 'this . clusters = null ;', 'initializeMembershipMatrix ( ) ;', 'private final int k ;', 'final double [ ] [ ] oldMatrix = new double [ size ] [ k ] ;', 'return maxMembership ;', 'this . fuzzyness = fuzzyness ;', 'for ( final CentroidCluster < T > cluster : clusters ) {', '} while ( difference > epsilon & & + + iteration < max ) ;', 'private void updateClusterCenters ( ) {', 'double [ ] arr = new double [ center . getPoint ( ) . length ] ;', 'import java . util . ArrayList ;', 'private List < T > points ;', 'final double u = FastMath . pow ( membershipMatrix [ i ] [ j ] , fuzzyness ) ;', 'MathUtils . checkNotNull ( dataPoints ) ;', 'double objFunction = 0 . 0 ;', 'throw new NumberIsTooSmallException ( fuzzyness , 1 . 0 , false ) ;', 'return fuzzyness ;', 'return points ;', 'private final double epsilon ;', 'double maxMembership = 0 . 0 ;', 'for ( final T point : points ) {', 'private final double fuzzyness ;', 'double difference = 0 . 0 ;', 'return objFunction ;', 'import org . apache . commons . math3 . util . MathArrays ;', 'this . epsilon = epsilon ;', 'clusters = new ArrayList < CentroidCluster < T > > ( ) ;', 'import java . util . Collections ;', 'import java . util . List ;', 'double sum = 0 . 0 ;', 'public FuzzyKMeansClusterer ( final int k , final double fuzzyness ,', 'int iteration = 0 ;', 'private double calculateMaxMembershipChange ( final double [ ] [ ] matrix ) {', 'return clusters ;', 'for ( int i = 0 ; i < k ; i + + ) {', 'private static final double DEFAULT EPSILON = 1e - 3 ;', 'for ( int idx = 0 ; idx < arr . length ; idx + + ) {', 'final int pointDimension = points . get ( 0 ) . getPoint ( ) . length ;', 'private void initializeMembershipMatrix ( ) {', 'arr [ idx ] + = u * pointArr [ idx ] ;', 'private final RandomGenerator random ;', 'this . membershipMatrix = null ;', 'throws NumberIsTooSmallException {', 'maxMembership = membershipMatrix [ i ] [ j ] ;', 'final double distA = FastMath . abs ( distance ( point , clusters . get ( j ) . getCenter ( ) ) ) ;', 'import org . apache . commons . math3 . exception . MathIllegalArgumentException ;', 'import java . util . Collection ;', 'public List < CentroidCluster < T > > cluster ( final Collection < T > dataPoints )', 'clusters . clear ( ) ;', 'import org . apache . commons . math3 . ml . distance . EuclideanDistance ;', 'j + + ;', 'final List < CentroidCluster < T > > newClusters = new ArrayList < CentroidCluster < T > > ( k ) ;', 'throw new NumberIsTooSmallException ( size , k , false ) ;', 'for ( int j = 0 ; j < k ; j + + ) {', 'this ( k , fuzzyness , - 1 , new EuclideanDistance ( ) ) ;', 'import org . apache . commons . math3 . random . JDKRandomGenerator ;', 'updateClusterCenters ( ) ;', 'difference = calculateMaxMembershipChange ( oldMatrix ) ;', 'int j = 0 ;', 'newClusters . add ( new CentroidCluster < T > ( new DoublePoint ( arr ) ) ) ;', 'import org . apache . commons . math3 . linear . MatrixUtils ;', 'do {', 'public double getObjectiveFunctionValue ( ) {', 'private void updateMembershipMatrix ( ) {', 'if ( size < k ) {', 'import org . apache . commons . math3 . linear . RealMatrix ;', 'private final int maxIterations ;', 'for ( int j = 0 ; j < clusters . size ( ) ; j + + ) {', 'final int maxIterations , final DistanceMeasure measure ,', 'final int size = dataPoints . size ( ) ;', '}', 'this . points = null ;', 'System . arraycopy ( membershipMatrix [ i ] , 0 , matrix [ i ] , 0 , clusters . size ( ) ) ;', 'return k ;', 'public class FuzzyKMeansClusterer < T extends Clusterable > extends Clusterer < T > {', 'public FuzzyKMeansClusterer ( final int k , final double fuzzyness ) throws NumberIsTooSmallException {', 'final int max = ( maxIterations < 0 ) ? Integer . MAX VALUE : maxIterations ;', 'if ( membershipMatrix [ i ] [ j ] > maxMembership ) {', 'return MatrixUtils . createRealMatrix ( membershipMatrix ) ;', 'MathArrays . scaleInPlace ( 1 . 0 / sum , arr ) ;', 'super ( measure ) ;', 'maxMembership = FastMath . max ( v , maxMembership ) ;', 'final double distB = FastMath . abs ( distance ( point , c . getCenter ( ) ) ) ;', 'this ( k , fuzzyness , maxIterations , measure , DEFAULT EPSILON , new JDKRandomGenerator ( ) ) ;', 'int i = 0 ;', 'objFunction + = ( dist * dist ) * FastMath . pow ( membershipMatrix [ i ] [ j ] , fuzzyness ) ;', 'package org . apache . commons . math3 . ml . clustering ;', 'final T point = points . get ( i ) ;', 'private void saveMembershipMatrix ( final double [ ] [ ] matrix ) {', 'this . random = random ;', 'return random ;', 'for ( final CentroidCluster < T > c : clusters ) {', 'saveMembershipMatrix ( oldMatrix ) ;', 'public int getK ( ) {', 'public List < CentroidCluster < T > > getClusters ( ) {'}, 'removed_code': set()}"
7117039b146155d81857ec29cc48b64324e5f19c,1.0,COMPRESS - 373 support for writing legacy lzma streams,"{'added_code': {'import java . io . OutputStream ;', 'public void close ( ) throws IOException {', 'import org . tukaani . xz . LZMAOutputStream ;', 'out . finish ( ) ;', 'public class LZMACompressorOutputStream extends CompressorOutputStream {', 'out . flush ( ) ;', '}', 'public void finish ( ) throws IOException {', 'package org . apache . commons . compress . compressors . lzma ;', 'import org . tukaani . xz . LZMA2Options ;', 'import java . io . IOException ;', 'import org . apache . commons . compress . compressors . CompressorOutputStream ;', 'private final LZMAOutputStream out ;', 'public LZMACompressorOutputStream ( final OutputStream outputStream )', 'public void flush ( ) throws IOException {', 'public void write ( final byte [ ] buf , final int off , final int len ) throws IOException {', '@ Override', 'public void write ( final int b ) throws IOException {', 'out . close ( ) ;', 'out . write ( b ) ;', 'out . write ( buf , off , len ) ;', 'throws IOException {', 'out = new LZMAOutputStream ( outputStream , new LZMA2Options ( ) , - 1 ) ;'}, 'removed_code': set()}"
bd2d4a000c4d5b4377e9a28bb225d3f61d45de31,1.0,[ VFS - 544 ] Allow virtual file system to be closed . Renamed map to typeMap . Javadoc fixes .,"{'added_code': {'typeMap . addMimeType ( mimeType , scheme ) ;', 'private VirtualFileProvider vfsProvider ;', 'filesCache = null ;', '}', 'closeComponent ( vfsProvider ) ;', 'private final FileTypeMap typeMap = new FileTypeMap ( ) ;', 'components . clear ( ) ;', 'vfsProvider = new VirtualFileProvider ( ) ;', 'typeMap . addExtension ( extension , scheme ) ;', 'tempFileStore = null ;', 'return typeMap . getScheme ( file ) ! = null ;', 'closeComponent ( filesCache ) ;', 'log . warn ( ""DefaultFilesystemManager . close : not all components are closed : "" + components . toString ( ) ) ;', 'defaultProvider = null ;', 'operationProviders . clear ( ) ;', 'if ( !components . isEmpty ( ) )', 'else if ( filesystem instanceof VirtualFileSystem )', 'vfsProvider . closeFileSystem ( filesystem ) ;', 'closeComponent ( defaultProvider ) ;', 'final String scheme = typeMap . getScheme ( file ) ;', 'fileReplicator = null ;', 'vfsProvider = null ;', 'if ( filesCache = = null )', 'typeMap . clear ( ) ;', '{', 'filesCache = new SoftRefFilesCache ( ) ;'}, 'removed_code': {'filesCache = null ;', '}', 'components . clear ( ) ;', 'return map . getScheme ( file ) ! = null ;', 'private final FileTypeMap map = new FileTypeMap ( ) ;', 'private final VirtualFileProvider vfsProvider = new VirtualFileProvider ( ) ;', 'tempFileStore = null ;', 'map . clear ( ) ;', 'closeComponent ( filesCache ) ;', 'map . addExtension ( extension , scheme ) ;', 'defaultProvider = null ;', 'operationProviders . clear ( ) ;', 'map . addMimeType ( mimeType , scheme ) ;', 'closeComponent ( defaultProvider ) ;', 'final String scheme = map . getScheme ( file ) ;', 'fileReplicator = null ;', 'if ( filesCache = = null )', '{', 'filesCache = new SoftRefFilesCache ( ) ;'}}"
4f72517b0e7881107a0db3046f0247ea2218039d,1.0,Replace direct use of external fields with getter / setter,"{'added_code': {'if ( i1 . getOpcode ( ) = = i2 . getOpcode ( ) ) {', 'return ( ( BranchInstruction ) i1 ) . getTarget ( ) = = ( ( BranchInstruction ) i2 ) . getTarget ( ) ;'}, 'removed_code': {'return ( ( BranchInstruction ) i1 ) . target = = ( ( BranchInstruction ) i2 ) . target ;', 'if ( i1 . opcode = = i2 . opcode ) {'}}"
66b24cabe95485abbe4398ff468a57e5ea0e3cf8,1.0,JCS - 169 ensure access expiry policy is respected binding it on jcs features instead of faking it with createtime,"{'added_code': {'import java . util . Set ;', 'else if ( v ! = null )', 'oldElt ! = null ? oldElt . getElementAttributes ( ) : delegate . getElementAttributes ( ) . clone ( ) ) ;', 'import org . apache . commons . jcs . engine . behavior . ICacheElement ;', 'else', 'import java . util . concurrent . ConcurrentMap ;', 'import java . util . concurrent . Executors ;', 'attrs . setLastAccessTimeNow ( ) ;', 'import java . util . concurrent . ExecutorService ;', 'final IElementAttributes clone = delegate . getElementAttributes ( ) . clone ( ) ;', '}', 'remove ( key ) ;', 'attrs . setTimeFactorForMilliseconds ( 1 ) ;', 'import java . util . Arrays ;', 'import org . apache . commons . jcs . engine . behavior . IElementAttributes ;', 'if ( oldValue . equals ( v ) )', 'import org . apache . commons . jcs . jcache . jmx . JCSCacheStatisticsMXBean ;', 'if ( ElementAttributes . class . isInstance ( copy ) ) {', 'import org . apache . commons . jcs . engine . ElementAttributes ;', 'import org . apache . commons . jcs . engine . CacheElement ;', 'import static org . apache . commons . jcs . jcache . serialization . Serializations . copy ;', 'private ICacheElement < K , V > updateElement ( final K key , final V v , final Duration duration , final IElementAttributes attrs )', 'final ICacheElement < K , V > element = updateElement ( key , v , duration , clone ) ;', 'attrs . setIsEternal ( eternal ) ;', 'import java . io . IOException ;', 'import static org . apache . commons . jcs . jcache . Asserts . assertNotNull ;', 'import java . util . concurrent . ConcurrentHashMap ;', 'if ( duration = = expiryPolicy . getExpiryForAccess ( ) )', 'ElementAttributes . class . cast ( clone ) . setCreateTime ( ) ;', 'import java . io . Closeable ;', 'import java . util . Map ;', 'import java . util . HashMap ;', 'element . setElementAttributes ( attrs ) ;', 'import java . util . Properties ;', 'expiryPolicy . getExpiryForAccess ( ) ;', 'element . getElementAttributes ( ) . setIdleTime ( duration . getTimeUnit ( ) . toMillis ( duration . getDurationAmount ( ) ) ) ;', 'delegate . update ( updateElement ( key , elt . getVal ( ) , expiryForAccess , elt . getElementAttributes ( ) ) ) ;', 'import org . apache . commons . jcs . engine . behavior . IElementSerializer ;', 'import org . apache . commons . jcs . utils . serialization . StandardSerializer ;', 'jcsKey , value , created ? null : duration ,', 'import org . apache . commons . jcs . jcache . jmx . JCSCacheMXBean ;', 'import org . apache . commons . jcs . engine . control . CompositeCache ;', 'import org . apache . commons . jcs . jcache . jmx . JMXs ;', 'import org . apache . commons . jcs . jcache . proxy . ExceptionWrapperHandler ;', 'element . getElementAttributes ( ) . setMaxLife ( duration . getTimeUnit ( ) . toMillis ( duration . getDurationAmount ( ) ) ) ;', '{', 'return true ;', 'import java . util . Iterator ;', 'if ( ElementAttributes . class . isInstance ( clone ) )', 'import org . apache . commons . jcs . jcache . thread . DaemonThreadFactory ;', 'ElementAttributes . class . cast ( copy ) . setCreateTime ( ) ;', 'final ICacheElement < K , V > element = updateElement (', 'import java . util . HashSet ;'}, 'removed_code': {'catch ( final IOException e )', 'import java . util . Set ;', 'import org . apache . commons . jcs . engine . behavior . ICacheElement ;', 'element . setElementAttributes ( copy ) ;', 'import java . util . concurrent . ConcurrentMap ;', 'import java . util . concurrent . Executors ;', 'import java . util . concurrent . ExecutorService ;', '}', 'remove ( key ) ;', 'delegate . update ( updateElement ( key , elt . getVal ( ) , expiryForAccess ) ) ;', 'if ( expiryForAccess ! = null )', 'import java . util . Arrays ;', 'import org . apache . commons . jcs . engine . behavior . IElementAttributes ;', 'final boolean found = v ! = null ;', 'import org . apache . commons . jcs . jcache . jmx . JCSCacheStatisticsMXBean ;', 'final ICacheElement < K , V > element = updateElement ( key , v , duration ) ;', 'import org . apache . commons . jcs . engine . ElementAttributes ;', 'import org . apache . commons . jcs . engine . CacheElement ;', 'import static org . apache . commons . jcs . jcache . serialization . Serializations . copy ;', 'copy . setIsEternal ( eternal ) ;', 'final ICacheElement < K , V > element = updateElement ( jcsKey , value , created ? null : duration ) ;', 'import java . io . IOException ;', 'import static org . apache . commons . jcs . jcache . Asserts . assertNotNull ;', 'import java . util . concurrent . ConcurrentHashMap ;', 'copy . setIdleTime ( duration . getTimeUnit ( ) . toMillis ( duration . getDurationAmount ( ) ) ) ;', 'if ( v . equals ( oldValue ) )', 'import java . io . Closeable ;', 'if ( found )', 'delegate . update ( updateElement ( key , v , expiryForAccess ) ) ;', 'try', 'import java . util . Map ;', 'import java . util . HashMap ;', 'import java . util . Properties ;', 'import org . apache . commons . jcs . engine . behavior . IElementSerializer ;', 'import org . apache . commons . jcs . utils . serialization . StandardSerializer ;', 'private ICacheElement < K , V > updateElement ( final K key , final V v , final Duration duration )', 'throw new CacheException ( e ) ;', 'import org . apache . commons . jcs . jcache . jmx . JCSCacheMXBean ;', 'import org . apache . commons . jcs . engine . control . CompositeCache ;', 'import org . apache . commons . jcs . jcache . jmx . JMXs ;', 'import org . apache . commons . jcs . jcache . proxy . ExceptionWrapperHandler ;', 'final Duration expiryForAccess = expiryPolicy . getExpiryForAccess ( ) ;', 'final IElementAttributes copy = delegate . getElementAttributes ( ) . clone ( ) ;', 'element . getElementAttributes ( ) . setMaxLife ( duration . getTimeUnit ( ) . toMillis ( duration . getDurationAmount ( ) ) ) ;', '{', 'return true ;', 'import java . util . Iterator ;', 'copy . setTimeFactorForMilliseconds ( 1 ) ;', 'import org . apache . commons . jcs . jcache . thread . DaemonThreadFactory ;', 'import java . util . HashSet ;'}}"
dff4cea14174548f52d6fcc66c9bfd7a339b7336,1.0,IVY - 1421 : SSH agent support for SSH and SFTP transports,"{'added_code': {'import com . jcraft . jsch . agentproxy . AgentProxyException ;', 'private boolean attemptAgentUse ( JSch jsch ) {', '} catch ( AgentProxyException e ) {', 'if ( allowedAgentUse ) {', 'import com . jcraft . jsch . agentproxy . Connector ;', 'jsch . setIdentityRepository ( new RemoteIdentityRepository ( con ) ) ;', 'attemptAgentUse ( jsch ) ;', 'throws IOException {', 'File pemFile , String pemPassword , File passFile , boolean allowedAgentUse )', 'try {', 'return true ;', '}', 'return false ;', 'Connector con = ConnectorFactory . getDefault ( ) . createConnector ( ) ;', 'import com . jcraft . jsch . agentproxy . ConnectorFactory ;', 'import com . jcraft . jsch . agentproxy . RemoteIdentityRepository ;', 'Message . verbose ( "" : : SSH : : Failure connecting to agent : : "" + e . toString ( ) ) ;'}, 'removed_code': {'File pemFile , String pemPassword , File passFile ) throws IOException {'}}"
350f01c78374b4df99c1a84cc32122eeeb48b036,1.0,[ COMPRESS - 368 ] Allow compressor extensions through a standard JRE ServiceLoader . Revisit new interface to add decompress until EOF .,"{'added_code': {'return compressorStreamProvider . createCompressorInputStream ( name , in , actualDecompressConcatenated ) ;', 'static void putAll ( final Set < String > names , final CompressorStreamProvider provider ,', 'return createCompressorInputStream ( name , in , decompressConcatenated ) ;', 'for ( final CompressorStreamProvider provider : findCompressorStreamProviders ( ) ) {', 'final TreeMap < String , CompressorStreamProvider > map = new TreeMap < > ( ) ;', 'final TreeMap < String , CompressorStreamProvider > map ) {', 'public CompressorInputStream createCompressorInputStream ( final String name , final InputStream in ,', 'for ( final String name : names ) {', '}', 'return new XZCompressorInputStream ( in , actualDecompressConcatenated ) ;', 'final boolean actualDecompressConcatenated ) throws CompressorException {', '@ Override', 'return new GzipCompressorInputStream ( in , actualDecompressConcatenated ) ;', 'return new BZip2CompressorInputStream ( in , actualDecompressConcatenated ) ;'}, 'removed_code': {'return new XZCompressorInputStream ( in , decompressConcatenated ) ;', 'TreeMap < String , CompressorStreamProvider > map ) {', 'static void putAll ( Set < String > names , CompressorStreamProvider provider ,', 'for ( String name : names ) {', 'return new GzipCompressorInputStream ( in , decompressConcatenated ) ;', 'return compressorStreamProvider . createCompressorInputStream ( name , in ) ;', 'return new BZip2CompressorInputStream ( in , decompressConcatenated ) ;', 'for ( CompressorStreamProvider provider : findCompressorStreamProviders ( ) ) {', 'TreeMap < String , CompressorStreamProvider > map = new TreeMap < > ( ) ;', '@ Override'}}"
f1fc61922c3d8b4aefa26f6f51f0fafd94baf28a,1.0,ignoring CacheValue for key parameters,"{'added_code': {'final CacheInvocationParameter [ ] parametersAsArray = new CacheInvocationParameter [ indexes = = null ? args . length : indexes . length ] ;', 'final Class < ? > [ ] parameterTypes = getMethod ( ) . getParameterTypes ( ) ;', 'else', 'final Object [ ] args = delegate . getParameters ( ) ;', 'final Annotation [ ] annotations , final int i ) {', '}', 'return new CacheInvocationParameterImpl ( type , arg , new HashSet < Annotation > ( asList ( annotations ) ) , i ) ;', 'final Annotation [ ] [ ] parameterAnnotations = getMethod ( ) . getParameterAnnotations ( ) ;', 'if ( indexes = = null )', 'for ( int idx = 0 ; idx < indexes . length ; idx + + )', 'protected CacheInvocationParameter [ ] doGetAllParameters ( final Integer [ ] indexes )', 'return parametersAsArray ;', 'parameters = doGetAllParameters ( null ) ;', 'for ( int i = 0 ; i < args . length ; i + + )', 'import java . lang . annotation . Annotation ;', 'private CacheInvocationParameterImpl newCacheInvocationParameterImpl ( final Class < ? > type , final Object arg ,', 'parametersAsArray [ i ] = newCacheInvocationParameterImpl ( parameterTypes [ i ] , args [ i ] , parameterAnnotations [ i ] , i ) ;', '{', 'final int i = indexes [ idx ] ;', 'import java . util . HashSet ;'}, 'removed_code': {'import java . lang . annotation . Annotation ;', 'parameters = new CacheInvocationParameter [ args . length ] ;', 'final Class < ? > [ ] parameterTypes = getMethod ( ) . getParameterTypes ( ) ;', 'final Annotation [ ] [ ] parameterAnnotations = getMethod ( ) . getParameterAnnotations ( ) ;', 'final Object [ ] args = delegate . getParameters ( ) ;', '{', '}', 'parameters [ i ] = new CacheInvocationParameterImpl ( parameterTypes [ i ] , args [ i ] , new HashSet < Annotation > ( asList ( parameterAnnotations [ i ] ) ) , i ) ;', 'for ( int i = 0 ; i < args . length ; i + + )', 'import java . util . HashSet ;'}}"
2282c22c5b252859b459cc2474350fbaf2a588e9,1.0,"PARQUET - 389 : Support predicate push down on missing columns . Predicate push - down will complain when predicates reference columns that aren't in a file's schema . This makes it difficult to implement predicate push - down in engines where schemas evolve because each task needs to process the predicates and prune references to columns not in that task's file . This PR implements predicate evaluation for missing columns , where the values are all null . This allows engines to pass predicates as they are written . A future commit should rewrite the predicates to avoid the extra work currently done in record - level filtering , but that isn't included here because it is an optimization . Author : Ryan Blue < blue @ apache . org > Closes #354 from rdblue / PARQUET - 389 - predicate - push - down - on - missing - columns and squashes the following commits : b4d809a [ Ryan Blue ] PARQUET - 389 : Support record - level filtering with missing columns . 91b841c [ Ryan Blue ] PARQUET - 389 : Add missing column support to StatisticsFilter . 275f950 [ Ryan Blue ] PARQUET - 389 : Add missing column support to DictionaryFilter .","{'added_code': {'if ( value ! = null ) {', 'if ( meta = = null ) {', '}', 'if ( hasNulls ( meta ) ) {', 'private static final boolean BLOCK CANNOT MATCH = true ;', 'ColumnChunkMetaData meta = getColumnChunk ( filterColumn . getColumnPath ( ) ) ;', 'T value = gtEq . getValue ( ) ;', 'if ( value = = null ) {', 'Statistics < T > stats = meta . getStatistics ( ) ;', 'return BLOCK MIGHT MATCH ;', 'return isAllNulls ( meta ) ;', 'T value = gt . getValue ( ) ;', 'T value = ltEq . getValue ( ) ;', 'T value = lt . getValue ( ) ;', 'return !hasNulls ( meta ) ;', 'return BLOCK CANNOT MATCH ;', 'if ( isAllNulls ( meta ) ) {', 'private static final boolean BLOCK MIGHT MATCH = false ;', 'return columns . get ( columnPath ) ;', '@ SuppressWarnings ( ""unchecked"" )'}, 'removed_code': {'ColumnChunkMetaData columnChunk = getColumnChunk ( filterColumn . getColumnPath ( ) ) ;', 'return c ;', 'if ( isAllNulls ( columnChunk ) ) {', 'return !hasNulls ( columnChunk ) ;', 'ColumnChunkMetaData c = columns . get ( columnPath ) ;', 'T value = lt . getValue ( ) ;', 'return true ;', 'return isAllNulls ( columnChunk ) ;', 'return false ;', 'if ( hasNulls ( columnChunk ) ) {', 'Statistics < T > stats = columnChunk . getStatistics ( ) ;', 'T value = gt . getValue ( ) ;', 'T value = gtEq . getValue ( ) ;', 'checkArgument ( c ! = null , ""Column "" + columnPath . toDotString ( ) + "" not found in schema!"" ) ;', 'T value = ltEq . getValue ( ) ;'}}"
